id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,piotrkaszuwara,"Krzysztof Gorzelak, Polak, żołnierz, były dziennikarz, zginął na froncie w Ukrainie. Dwa lata temu postanowił zaciągnąć się do wojska i walczyć z rosyjskimi najeźdźcami. Krzysztof miał 45 lat i zostanie pochowany w Ukrainie – podają kieleckie media. #Ukraina #Polska #Polacynawojnie #SZU #ZSU #Wojnazrosją #Rosja #front #Ukraine #Poland",1,51,36,88,"May 31, 2025 · 2:17 PM UTC",336,47,
2,TONYCH1N,"Ranking krajów według średniego IQ Polska - 40 miejsce z wynikiem 99.35 Ukraina - 78 miejsce, wynik 95.38 Rosja - 6 miejsce z wynikiem 103.16 Inteligentny sam wyciągnie wnioski.",2,26,4,32,"May 30, 2025 · 11:28 PM UTC",177,29,
3,oysteinbogen,"Jeg synes virkelig synd på folk som er så redde av seg at de til stadighet trekker frem «tredje verdenskrig» som argument for ikke å hjelpe Ukraina med å forsvare seg mot angriperen. Putin har som kjent putret på med slike trusler i årevis uten at noe har skjedd, annet enn mer konvensjonell bombing av sivile. Ville denne frykten også gjort dem uvillige til å bidra til forsvar av Norge om det ble nødvendig?",1,4,12,17,"May 31, 2025 · 12:52 PM UTC",409,74,
4,Michalxpl,"Choćbyś się rozpisał do upadłego, nie wymażesz prawdy: na Wołyniu Ukraińcy dopuścili się niewyobrażalnego bestialstwa. A dla nas największą potwarzą jest to, że współczesna Ukraina wciąż czci Banderę.",0,0,0,0,"May 31, 2025 · 4:18 PM UTC",200,28,
5,Wiryansyah23,Drone FPV Sidoplatov Group membagikan debut mereka pada malam hari memburu alutsista dan pasukan ukraina,0,0,0,0,"May 31, 2025 · 4:17 PM UTC",104,15,
6,FrankNorg,"Våpenhvile?? Russland ønsker slutt på krig, ikke en Våpenhvile av typen Minsk 2. Hvor vesten lurte Putin til n våpenhvile for så å ruste opp Ukraina militært. Noe som Angela Merkel senere bekreftet var hele intensjonen.",0,0,0,0,"May 31, 2025 · 4:17 PM UTC",219,36,
7,asaaa_ismyname,"[#PerthSanta Au] Darah, cinta dan kesetiaan yang akan menghantui perjalanan Seymor Volkova seorang Agen Intelijen asal ukraina yang menyusup kedalam lingkaran Bratva “Bratstvo krovi” untuk menghancurkan sang pemimpin secara perlahan, tapi sialnya ia terjebak sebuah perasaan.",0,0,1,1,"May 31, 2025 · 4:17 PM UTC",275,36,
8,coyvunen,"En ole luvannut sinulle mitenkään ""perkeleesti"". Yrität editoida narratiivia. Ei mene läpi. Sanoin vain kerran, että asenteesi on tuhoon johtava. Se tulee eteen, jos tulee, kun se tulee. Ukraina on jo taputeltu ja Suomeen ei hyökätä, jos emme provosoi ketään tai aloita sotaa.",0,0,0,0,"May 31, 2025 · 4:16 PM UTC",276,43,
9,WolnySwiat,"Tępak zaściankowy, a dlaczego nie Białoruski, czy Portugalski? A? Bo wojna, bo Ukraina najechana I trzeba pomagac bic kacapów, by nie ruszyli dalej. Понимаешь? Наверное инструкции шлют на русском, критиковать страну и Президента,",0,0,0,0,"May 31, 2025 · 4:16 PM UTC",229,33,
10,RyszardLip59102,O to Ukraina pretensje i roszczenia niewiniątka,0,0,0,0,"May 31, 2025 · 4:15 PM UTC",47,7,
